Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_MKTP_CD,NY_GDP_PCAP_CD,NY_GDP_MKTP_KD_ZG,200343,200144,200345,200151,SP_RUR_TOTL_ZS,200101
MNG,,,13852850259.0,4295.0,5.1,993.0,451.0,1646.0,135.0,31.0,3225.0
MNP,,,,,,13.0,9.0,31.0,4.0,8.0,57.0
MOZ,,,14934159926.0,492.0,2.2,13473.0,6229.0,9790.0,874.0,63.0,30366.0
MRT,,,7593752450.0,1678.0,5.9,1805.0,865.0,1713.0,143.0,45.0,4526.0
MSR,,,,,,1.0,,3.0,1.0,,5.0
MTQ,,,,,,60.0,48.0,188.0,79.0,,376.0
MUS,,,14180444557.0,11204.0,3.6,219.0,191.0,707.0,152.0,59.0,1270.0
MWI,,,7666704427.0,412.0,4.4,8098.0,3887.0,6152.0,492.0,83.0,18629.0
MYS,,,364701517788.0,11415.0,4.3,7570.0,5588.0,16580.0,2211.0,23.0,31950.0
MYT,,,,,,105.0,52.0,98.0,11.0,,266.0
NAM,,,12366527719.0,4957.0,-1.1,921.0,487.0,996.0,90.0,49.0,2495.0
NCL,,,,,,63.0,45.0,148.0,27.0,29.0,283.0
NER,,,12928145120.0,555.0,5.8,11619.0,4515.0,6572.0,605.0,83.0,23311.0
NGA,,,448120428859.0,2230.0,2.2,87796.0,38719.0,68936.0,5513.0,49.0,200964.0
NIC,,,12520915291.0,1913.0,-3.9,1954.0,1190.0,3044.0,357.0,41.0,6546.0
NIU,,,,,,,,1.0,,,2.0
NLD,,,909070395161.0,52448.0,1.8,2716.0,2047.0,8983.0,3352.0,8.0,17097.0
NOR,,,403336363636.0,75420.0,1.2,937.0,676.0,2837.0,929.0,17.0,5379.0
NPL,,,30641380604.0,1071.0,7.0,8460.0,6389.0,12106.0,1654.0,80.0,28609.0
NRU,,,118223430.0,9397.0,,4.0,2.0,5.0,,,11.0
NZL,,,206928765544.0,42084.0,2.2,936.0,633.0,2449.0,765.0,13.0,4783.0
OMN,,,76983094928.0,15474.0,0.5,1115.0,593.0,3145.0,122.0,15.0,4975.0
PAK,,,278221906023.0,1285.0,1.0,75916.0,42337.0,88952.0,9361.0,63.0,216565.0
PAN,,,66800800000.0,15731.0,3.0,1137.0,699.0,2057.0,353.0,32.0,4246.0
PER,,,226848050820.0,6978.0,2.2,8210.0,5173.0,16399.0,2729.0,22.0,32510.0
PHL,,,376795508680.0,3485.0,6.0,32949.0,20459.0,48962.0,5746.0,53.0,108117.0
PLW,,,,,,4.0,2.0,10.0,2.0,20.0,18.0
PNG,,,24969611435.0,2845.0,5.6,3114.0,1726.0,3628.0,308.0,87.0,8776.0
