"LOCAL","SP_DYN_LE00_IN","SP_DYN_IMRT_IN","NY_GDP_MKTP_CD","NY_GDP_PCAP_CD","NY_GDP_MKTP_KD_ZG","200343","200144","200345","200151","SP_RUR_TOTL_ZS","200101","ANO"
"GEO","73.0","9.0","1.4953950557E10","4014.0","3.0","763.0","520.0","2164.0","577.0","43.0","4024.0","2015"
"ZWE","61.0","34.0","2.43115605E10","1684.0","4.8","6122.0","2887.0","5005.0","424.0","68.0","14439.0","2018"
"YEM","66.0","43.0","2.8084676409E10","1034.0","-9.4","10966.0","5904.0","9530.0","768.0","65.0","27168.0","2016"
"SYC","73.0","12.0","1.586008997E9","16391.0","3.8","23.0","13.0","54.0","7.0","43.0","97.0","2018"
"DMA",,,"5.96033333E8","8300.0","5.7","13.0","12.0","39.0","7.0","29.0","72.0","2019"
"NAM","62.0","34.0","1.127214355E10","4869.0","4.5","854.0","488.0","886.0","87.0","53.0","2315.0","2015"
"MKD","75.0","11.0","1.0672471861E10","5129.0","2.8","349.0","278.0","1186.0","268.0","42.0","2081.0","2016"
"PAK","67.0","57.0","3.14567541558E11","1482.0","5.8","74853.0","41935.0","86288.0","9153.0","63.0","212228.0","2018"
"CYP","80.0","2.0","1.9779150116E10","23334.0","3.4","196.0","186.0","630.0","149.0","33.0","1161.0","2015"
"TUR","77.0","10.0","8.52676779694E11","10514.0","7.5","20281.0","13288.0","40851.0","6697.0","25.0","81116.0","2017"
"BWA","69.0","30.0","1.8663264706E10","8280.0","4.5","769.0","415.0","975.0","95.0","31.0","2254.0","2018"
"TGO","61.0","47.0","5.35634485E9","679.0","4.9","3261.0","1534.0","2867.0","226.0","58.0","7889.0","2018"
"COL","77.0","14.0","2.93481753079E11","6176.0","3.0","11657.0","8563.0","23645.0","3657.0","20.0","47521.0","2015"
"SEN","67.0","34.0","1.9040312815E10","1270.0","6.4","6504.0","2955.0","5075.0","460.0","54.0","14994.0","2016"
"NPL","70.0","27.0","2.9173513476E10","1039.0","6.7","8545.0","6324.0","11617.0","1609.0","80.0","28096.0","2018"
"PSE","73.0","19.0","1.2673E10","2968.0","3.4","1807.0","986.0","1600.0","137.0","25.0","4529.0","2015"
"SLB","73.0","18.0","1.309631133E9","2059.0","3.7","257.0","122.0","235.0","23.0","77.0","636.0","2017"
"PNG","64.0","40.0","2.0759069103E10","2510.0","4.1","3016.0","1612.0","3370.0","274.0","87.0","8272.0","2016"
"BEN","61.0","63.0","1.1821066153E10","1087.0","3.3","4660.0","2158.0","3702.0","352.0","54.0","10872.0","2016"
"GHA","64.0","35.0","6.5556464048E10","2202.0","6.3","11191.0","5792.0","11870.0","914.0","44.0","29767.0","2018"
"TCD",,,"1.1314951343E10","710.0","3.2","7466.0","3277.0","4806.0","397.0","77.0","15947.0","2019"
"LAO","68.0","38.0","1.7953786416E10","2542.0","6.2","2302.0","1403.0","3069.0","288.0","65.0","7062.0","2018"
"CUW","78.0",,"3.122287933E9","19555.0","-1.0","32.0","20.0","84.0","25.0","11.0","161.0","2016"
"MYS","76.0","7.0","3.58581943446E11","11373.0","4.7","7565.0","5626.0","16233.0","2103.0","24.0","31528.0","2018"
"COD","59.0","74.0","3.79177049E10","497.0","6.9","35335.0","14401.0","24208.0","2301.0","57.0","76245.0","2015"
"ITA","83.0","3.0","2.085764300862E12","34520.0","0.8","8081.0","5837.0","32915.0","13794.0","30.0","60627.0","2018"
"AZE","73.0","19.0","4.7112941176E10","4740.0","1.5","2325.0","1442.0","5566.0","616.0","44.0","9950.0","2018"
"MCO",,"3.0","7.188238073E9","185829.0","6.1",,,,,,,"2018"
"ZAF","63.0","31.0","2.96357282715E11","5273.0","0.4","16420.0","9945.0","26963.0","2879.0","35.0","56208.0","2016"
"VIR","79.0",,"3.855E9","35938.0","-1.7","21.0","14.0","51.0","20.0","4.0","105.0","2017"
"UGA",,,"3.4387229486E10","777.0","6.5","20585.0","9226.0","13590.0","869.0","76.0","44270.0","2019"
"DMA",,"31.0","5.7622963E8","8081.0","2.6","14.0","14.0","37.0","7.0","30.0","71.0","2016"
"GNQ",,,"1.1026774945E10","8132.0","-5.6","501.0","253.0","569.0","33.0","27.0","1356.0","2019"
"MNE",,,"5.494736901E9","8832.0","3.6","114.0","81.0","336.0","97.0","33.0","628.0","2019"
"PHL",,,"3.7679550868E11","3485.0","6.0","32949.0","20459.0","48962.0","5746.0","53.0","108117.0","2019"
"LBN","79.0","7.0","4.9939374833E10","7645.0","0.2",,,,,"12.0",,"2015"
"BLR","74.0","3.0","5.6454734397E10","5949.0","-3.8","1535.0","1061.0","5492.0","1352.0","23.0","9439.0","2015"
"NIC",,,"1.2520915291E10","1913.0","-3.9","1954.0","1190.0","3044.0","357.0","41.0","6546.0","2019"
"VNM",,,"2.61921244843E11","2715.0","7.0","22393.0","13620.0","53163.0","7286.0","63.0","96462.0","2019"
"VEN","73.0","17.0",,,,"8537.0","5315.0","14315.0","1915.0","12.0","30082.0","2015"
"BLZ","74.0","12.0","1.8366E9","4888.0","1.9","116.0","77.0","166.0","17.0","54.0","376.0","2017"
"NOR",,,"4.03336363636E11","75420.0","1.2","937.0","676.0","2837.0","929.0","17.0","5379.0","2019"
"PNG","64.0","39.0","2.2742613554E10","2695.0","3.5","3049.0","1651.0","3453.0","285.0","87.0","8438.0","2017"
"PAN","78.0","14.0","6.2219E10","15150.0","5.6","1123.0","684.0","1976.0","325.0","33.0","4107.0","2017"
"IRL","82.0","3.0","3.82674360766E11","78621.0","8.2","1032.0","573.0","2546.0","668.0","37.0","4819.0","2018"
"MAR",,,"1.18725279596E11","3204.0","2.3","9836.0","5862.0","18110.0","2663.0","37.0","36472.0","2019"
"COM",,,"1.185728677E9","1394.0","2.7","334.0","166.0","325.0","26.0","71.0","851.0","2019"
"GBR","81.0","4.0","2.860667727552E12","43043.0","1.3","11869.0","7867.0","35054.0","12351.0","17.0","67142.0","2018"
"LVA","74.0","4.0","2.7090019663E10","13699.0","3.3","302.0","212.0","1094.0","390.0","32.0","1998.0","2015"
"UZB","71.0","20.0","5.9159945321E10","1827.0","4.5","9114.0","5700.0","15782.0","1363.0","49.0","31960.0","2017"
"ISL","82.0","2.0","2.0618363256E10","61467.0","6.6","67.0","47.0","172.0","47.0","6.0","332.0","2016"
"MAC","84.0",,"4.5361678147E10","75341.0","-21.6","76.0","79.0","395.0","52.0",,"602.0","2015"
"AIA",,,,,,"3.0","2.0","8.0","1.0",,"14.0","2015"
"AIA",,,,,,"3.0","2.0","8.0","1.0",,"14.0","2016"
"AIA",,,,,,"3.0","2.0","8.0","1.0",,"15.0","2017"
"AIA",,,,,,"3.0","2.0","8.0","1.0",,"15.0","2018"
"AIA",,,,,,"3.0","2.0","8.0","2.0",,"15.0","2019"
"GRC","82.0","4.0","2.18138367445E11","20324.0","1.9","1481.0","1061.0","5702.0","2279.0","21.0","10522.0","2018"
"DEU","81.0","3.0","3.665804120835E12","44350.0","2.5","11118.0","8683.0","45192.0","17665.0","23.0","82658.0","2017"
"FRO","82.0",,"2.518096286E9","52405.0",,"10.0","6.0","24.0","8.0","58.0","48.0","2015"
"HTI",,,"8.498981821E9","755.0","-0.9","3701.0","2194.0","4798.0","570.0","44.0","11263.0","2019"
"BIH","77.0","5.0","2.0183498491E10","6072.0","3.7","491.0","403.0","1883.0","547.0","52.0","3324.0","2018"
"WSM","73.0","14.0","8.20491817E8","4183.0","-2.2","75.0","35.0","77.0","9.0","82.0","196.0","2018"
"COM","64.0","51.0","1.178530758E9","1416.0","3.4","329.0","163.0","315.0","25.0","71.0","832.0","2018"
"LBR",,,"3.0705181E9","622.0","-2.3","2012.0","983.0","1780.0","162.0","48.0","4937.0","2019"
"AFG",,,"1.9101353833E10","502.0","2.9","16157.0","8314.0","12576.0","995.0","74.0","38042.0","2019"
"CUB","79.0","4.0","9.6851E10","8541.0","1.8","1860.0","1403.0","6400.0","1676.0","23.0","11339.0","2017"
"DNK","81.0","4.0","3.29417067128E11","57141.0","2.0","945.0","741.0","2919.0","1127.0","12.0","5732.0","2017"
"HTI","63.0","51.0","8.409497402E9","766.0","1.2","3693.0","2165.0","4593.0","531.0","46.0","10982.0","2017"
"AND",,"3.0","3.00018075E9","38963.0","0.3",,,,,"12.0",,"2017"
"MDG","66.0","40.0","1.1848615018E10","476.0","4.0","10280.0","5110.0","8788.0","717.0","64.0","24894.0","2016"
"MRT","64.0","55.0","6.166857629E9","1524.0","5.4","1639.0","787.0","1495.0","126.0","49.0","4046.0","2015"
"VUT","70.0","23.0","8.80043554E8","3082.0","4.4","111.0","52.0","112.0","10.0","75.0","286.0","2017"
"ZAF",,,"3.51431649241E11","6001.0","0.2","16963.0","9819.0","28605.0","3171.0","33.0","58558.0","2019"
"TUV",,,"4.7271463E7","4059.0","9.8","4.0","2.0","5.0","1.0","37.0","12.0","2019"
"YEM",,,,,,"11438.0","6059.0","10818.0","846.0","63.0","29162.0","2019"
"TCD","53.0","77.0","1.095039222E10","776.0","2.8","6750.0","2852.0","4164.0","345.0","77.0","14111.0","2015"
"SVN","81.0","2.0","5.4034358544E10","26055.0","4.1","312.0","191.0","1168.0","407.0","45.0","2078.0","2018"
"MEX","75.0","12.0","1.157736189998E12","9278.0","2.1","33614.0","22098.0","60280.0","8785.0","20.0","124777.0","2017"
"BRB","79.0","12.0","4.978E9","17391.0","0.5","50.0","38.0","154.0","44.0","69.0","286.0","2017"
"CHL","80.0","7.0","2.50440136356E11","13754.0","1.7","3696.0","2799.0","9733.0","1981.0","13.0","18209.0","2016"
"KHM",,,"2.7089389787E10","1643.0","7.1","5127.0","3024.0","7558.0","778.0","76.0","16487.0","2019"
"RWA",,,"1.012247259E10","802.0","9.4","5021.0","2472.0","4752.0","382.0","83.0","12627.0","2019"
"LCA","76.0","15.0","2.065875074E9","11358.0","2.6","34.0","31.0","99.0","18.0","81.0","182.0","2018"
"MNG",,,"1.3852850259E10","4295.0","5.1","993.0","451.0","1646.0","135.0","31.0","3225.0","2019"
"IRN","76.0","13.0","4.45345282123E11","5520.0","3.8","19562.0","11663.0","44578.0","4872.0","26.0","80674.0","2017"
"QAT","80.0","6.0","1.91362087912E11","68794.0","1.5","377.0","384.0","1983.0","38.0","1.0","2782.0","2018"
"FSM","67.0","28.0","3.164899E8","2906.0","4.6","36.0","24.0","46.0","4.0","78.0","109.0","2015"
"TON","71.0","13.0","4.50353314E8","4364.0","0.3","37.0","20.0","40.0","6.0","77.0","103.0","2018"
"SWE",,,"5.30832908738E11","51610.0","1.2","1769.0","1095.0","5145.0","2027.0","12.0","10036.0","2019"
"MDV","78.0","9.0","4.1094248E9","9033.0","2.9","97.0","86.0","255.0","18.0","61.0","455.0","2015"
"GIN","61.0","66.0","1.0336634799E10","857.0","10.3","5340.0","2575.0","3802.0","351.0","64.0","12068.0","2017"
"POL","77.0","4.0","4.7758137684E11","12572.0","3.8","5646.0","4479.0","21926.0","5983.0","40.0","38034.0","2015"
"SWE","83.0","2.0","5.55455371487E11","54589.0","2.0","1753.0","1116.0","5098.0","2004.0","13.0","9972.0","2018"
"SOM","57.0","77.0",,,,"6990.0","3139.0","4448.0","431.0","55.0","15008.0","2018"
"MNP",,,"9.31E8","16691.0","3.5","14.0","8.0","31.0","3.0","9.0","56.0","2015"
"COD","60.0","72.0","3.7134799975E10","471.0","2.4","36516.0","14891.0","25003.0","2380.0","57.0","78789.0","2016"
"SLB","73.0","17.0","1.395608475E9","2138.0","3.9","263.0","125.0","242.0","23.0","76.0","653.0","2018"
"MYS","75.0","7.0","3.01354756113E11","9955.0","5.1","7595.0","5693.0","15174.0","1809.0","26.0","30271.0","2015"
"IRQ",,,"2.34094042939E11","5955.0","4.4","14946.0","7818.0","15210.0","1336.0","29.0","39310.0","2019"
"PRY","74.0","18.0","3.9008900332E10","5681.0","5.0","2040.0","1350.0","3048.0","429.0","39.0","6867.0","2017"
"GAB","65.0","36.0","1.4383107714E10","7385.0","3.9","708.0","366.0","804.0","71.0","12.0","1948.0","2015"
"COG","63.0","39.0","8.556594871E9","1762.0","2.6","2047.0","892.0","1792.0","125.0","34.0","4856.0","2015"
"WSM","73.0","14.0","8.3190381E8","4258.0","1.0","75.0","35.0","76.0","9.0","82.0","195.0","2017"
"NPL","70.0","28.0","2.518058377E10","911.0","8.2","8659.0","6220.0","11188.0","1565.0","81.0","27633.0","2017"
"CHL",,,"2.82318159745E11","14896.0","1.1","3695.0","2697.0","10309.0","2252.0","12.0","18952.0","2019"
"PRK","72.0","14.0",,,,"5201.0","3923.0","13887.0","2419.0","38.0","25430.0","2017"
"PLW",,"18.0","3.001256E8","16932.0","0.8","4.0","2.0","10.0","1.0","21.0","18.0","2016"
"SVN","81.0","2.0","4.8561672401E10","23501.0","4.8","309.0","194.0","1178.0","395.0","46.0","2076.0","2017"
"COG","64.0","38.0","9.041986778E9","1815.0","-2.8","2096.0","918.0","1837.0","130.0","34.0","4981.0","2016"
"MYS","76.0","7.0","3.18958236443E11","10254.0","5.7","7572.0","5652.0","15879.0","2001.0","25.0","31105.0","2017"
"FRA","83.0","3.0","2.471285607082E12","37037.0","1.1","11799.0","7542.0","32856.0","12471.0","20.0","64668.0","2016"
"TLS","68.0","43.0","1.596658767E9","1335.0","3.1","472.0","257.0","414.0","52.0","71.0","1196.0","2015"
"SWZ","55.0","48.0","4.07339099E9","3690.0","2.3","432.0","243.0","386.0","44.0","77.0","1104.0","2015"
"LUX",,,"7.1104919108E10","114705.0","2.3","97.0","75.0","357.0","88.0","9.0","616.0","2019"
"EGY","72.0","19.0","2.35369129338E11","2441.0","4.2","32574.0","16712.0","42153.0","5003.0","57.0","96443.0","2017"
"KHM","69.0","25.0","2.2177200512E10","1385.0","6.8","5007.0","3143.0","7154.0","706.0","77.0","16009.0","2017"
"KNA",,"11.0","9.23155556E8","18029.0","1.0","11.0","8.0","29.0","3.0","69.0","51.0","2015"
"BGR","75.0","7.0","5.3785050339E10","7546.0","3.8","1024.0","672.0","3995.0","1461.0","26.0","7152.0","2016"
"GIN","60.0","69.0","8.794202444E9","769.0","3.8","5148.0","2414.0","3540.0","329.0","65.0","11432.0","2015"
"GEO",,,"1.774319577E10","4769.0","5.1","801.0","459.0","2135.0","602.0","41.0","3997.0","2019"
"MYT",,,,,,"100.0","44.0","87.0","9.0",,"240.0","2015"
"IMN",,,"6.792417112E9","81606.0","-0.9","13.0","10.0","43.0","17.0","48.0","83.0","2015"
"MYT",,,,,,"103.0","48.0","92.0","10.0",,"253.0","2017"
"MYT",,,,,,"104.0","50.0","95.0","10.0",,"260.0","2018"
