Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_MKTP_CD,NY_GDP_PCAP_CD,NY_GDP_MKTP_KD_ZG,200343,200144,200345,200151,SP_RUR_TOTL_ZS,200101
PNG,64.0,40.0,20759069103.0,2510.0,4.1,3016.0,1612.0,3370.0,274.0,87.0,8272.0
POL,78.0,4.0,472037130973.0,12432.0,3.1,5617.0,4304.0,21862.0,6207.0,40.0,37989.0
PRI,79.0,,104336700000.0,30627.0,-1.3,591.0,441.0,1697.0,554.0,6.0,3283.0
PRK,72.0,15.0,,,,5239.0,3943.0,13678.0,2447.0,39.0,25308.0
PRT,81.0,3.0,206286022782.0,19978.0,2.0,1433.0,1083.0,5625.0,2185.0,36.0,10326.0
PRY,74.0,18.0,36054281572.0,5319.0,4.3,2035.0,1352.0,2980.0,411.0,39.0,6778.0
PSE,74.0,18.0,13425700000.0,3074.0,4.7,1835.0,996.0,1663.0,142.0,24.0,4636.0
PYF,77.0,,,,,63.0,42.0,148.0,21.0,38.0,275.0
QAT,80.0,6.0,151732142857.0,57163.0,2.1,358.0,379.0,1888.0,29.0,1.0,2654.0
REU,,,,,,209.0,128.0,439.0,93.0,,870.0
ROU,75.0,7.0,188494136776.0,9567.0,4.8,3053.0,2144.0,11150.0,3449.0,46.0,19796.0
RUS,72.0,7.0,1276786979222.0,8705.0,0.2,25119.0,14734.0,85252.0,20170.0,26.0,145275.0
RWA,68.0,29.0,8734161828.0,749.0,6.0,4705.0,2298.0,4343.0,323.0,83.0,11669.0
SAU,75.0,7.0,644935541440.0,19879.0,1.7,8281.0,4862.0,18292.0,1008.0,17.0,32443.0
SDN,65.0,44.0,51772232495.0,1299.0,4.7,16412.0,8041.0,14004.0,1390.0,66.0,39847.0
SEN,67.0,34.0,19040312815.0,1270.0,6.4,6504.0,2955.0,5075.0,460.0,54.0,14994.0
SGP,83.0,2.0,318652334419.0,56828.0,3.2,695.0,772.0,3634.0,552.0,,5654.0
SHN,,,,,,1.0,1.0,3.0,1.0,,6.0
