ref_area,sex,classif1,time,obs_value
BEL,SEX_F,AGE_YTHADULT_YGE25,2017,6.224
BEL,SEX_T,AGE_YTHADULT_YGE15,2018,5.9482
BEL,SEX_T,AGE_YTHADULT_Y15-64,2018,6.0033
BEL,SEX_T,AGE_YTHADULT_Y15-24,2018,15.7562
BEL,SEX_T,AGE_YTHADULT_YGE25,2018,5.1461
BEL,SEX_M,AGE_YTHADULT_YGE15,2018,6.2829
BEL,SEX_M,AGE_YTHADULT_Y15-64,2018,6.3491
BEL,SEX_M,AGE_YTHADULT_Y15-24,2018,16.1752
BEL,SEX_M,AGE_YTHADULT_YGE25,2018,5.4641
BEL,SEX_F,AGE_YTHADULT_YGE15,2018,5.5644
BEL,SEX_F,AGE_YTHADULT_Y15-64,2018,5.6087
BEL,SEX_F,AGE_YTHADULT_Y15-24,2018,15.2641
BEL,SEX_F,AGE_YTHADULT_YGE25,2018,4.7821
BEL,SEX_T,AGE_YTHADULT_YGE15,2019,5.3597
BEL,SEX_T,AGE_YTHADULT_Y15-64,2019,5.4095
BEL,SEX_T,AGE_YTHADULT_Y15-24,2019,14.2413
BEL,SEX_T,AGE_YTHADULT_YGE25,2019,4.6044
BEL,SEX_M,AGE_YTHADULT_YGE15,2019,5.73
BEL,SEX_M,AGE_YTHADULT_Y15-64,2019,5.8012
BEL,SEX_M,AGE_YTHADULT_Y15-24,2019,15.9609
BEL,SEX_M,AGE_YTHADULT_YGE25,2019,4.8597
BEL,SEX_F,AGE_YTHADULT_YGE15,2019,4.9366
BEL,SEX_F,AGE_YTHADULT_Y15-64,2019,4.9648
BEL,SEX_F,AGE_YTHADULT_Y15-24,2019,12.2753
BEL,SEX_F,AGE_YTHADULT_YGE25,2019,4.3127
BFA,SEX_T,AGE_YTHADULT_YGE15,2018,4.6949
BFA,SEX_T,AGE_YTHADULT_Y15-64,2018,4.8202
BFA,SEX_T,AGE_YTHADULT_Y15-24,2018,8.619
BFA,SEX_T,AGE_YTHADULT_YGE25,2018,3.8908
BFA,SEX_M,AGE_YTHADULT_YGE15,2018,4.7465
BFA,SEX_M,AGE_YTHADULT_Y15-64,2018,4.8698
BFA,SEX_M,AGE_YTHADULT_Y15-24,2018,8.8796
BFA,SEX_M,AGE_YTHADULT_YGE25,2018,4.0366
