ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_Y15-24,2015,10.5866,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_YGE25,2015,5.0146,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_YGE15,2016,6.0138,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_Y15-64,2016,6.1113,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_Y15-24,2016,11.2477,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_YGE25,2016,5.2609,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_YGE15,2017,5.499,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_Y15-64,2017,5.5785,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_Y15-24,2017,9.8035,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_YGE25,2017,4.9179,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_YGE15,2018,4.848,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_Y15-64,2018,4.9212,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_Y15-24,2018,9.394,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_YGE25,2018,4.2463,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_YGE15,2019,4.4866,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_Y15-64,2019,4.5524,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_Y15-24,2019,8.5397,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_YGE25,2019,3.9686,,,,R1:2384
AZE,SDG_0852_SEX_AGE_RT,BA:125,SEX_T,AGE_YTHADULT_YGE15,2015,4.96,,,,S3:24_S5:38
