ref_area,indicator,source,sex,classif1,time,obs_value,note_source
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_YGE65,2018,960.83,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2018,21154.491,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_YTHADULT_Y15-64,2018,20193.661,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2018,8071.334,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2018,13083.157,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_TOTAL,2019,38041.757,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y00-04,2019,5638.782,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y05-09,2019,5401.912,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y10-14,2019,5116.497,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y15-19,2019,4519.174,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y20-24,2019,3794.635,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y25-29,2019,2984.388,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y30-34,2019,2393.892,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y35-39,2019,1987.596,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y40-44,2019,1592.935,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y45-49,2019,1253.565,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y50-54,2019,995.266,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y55-59,2019,778.502,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y60-64,2019,589.535,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_YGE65,2019,995.078,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_TOTAL,2019,38041.757,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_YLT15,2019,16157.191,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y15-24,2019,8313.809,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y25-34,2019,5378.28,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y35-44,2019,3580.531,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y45-54,2019,2248.831,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y55-64,2019,1368.037,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_YGE65,2019,995.078,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_TOTAL,2019,38041.757,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_YLT15,2019,16157.191,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_Y15-24,2019,8313.809,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_Y25-54,2019,11207.642,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_Y55-64,2019,1368.037,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_YGE65,2019,995.078,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2019,21884.566,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_YTHADULT_Y15-64,2019,20889.488,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2019,8313.809,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2019,13570.757,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_TOTAL,2015,27884.38,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y00-04,2015,5192.358,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y05-09,2015,4381.416,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y10-14,2015,3562.269,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y15-19,2015,2920.715,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y20-24,2015,2463.585,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y25-29,2015,2079.144,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y30-34,2015,1696.733,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y35-39,2015,1369.482,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y40-44,2015,1124.113,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y45-49,2015,829.929,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y50-54,2015,730.901,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y55-59,2015,538.94,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y60-64,2015,360.183,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_YGE65,2015,634.612,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_10YRBANDS_TOTAL,2015,27884.38,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_10YRBANDS_YLT15,2015,13136.043,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_10YRBANDS_Y15-24,2015,5384.3,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_10YRBANDS_Y25-34,2015,3775.877,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_10YRBANDS_Y35-44,2015,2493.595,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_10YRBANDS_Y45-54,2015,1560.83,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_10YRBANDS_Y55-64,2015,899.123,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_10YRBANDS_YGE65,2015,634.612,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_AGGREGATE_TOTAL,2015,27884.38,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_AGGREGATE_YLT15,2015,13136.043,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_AGGREGATE_Y15-24,2015,5384.3,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_AGGREGATE_Y25-54,2015,7830.302,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_AGGREGATE_Y55-64,2015,899.123,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_AGGREGATE_YGE65,2015,634.612,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2015,14748.337,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_YTHADULT_Y15-64,2015,14113.725,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2015,5384.3,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2015,9364.037,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_TOTAL,2016,28842.482,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y00-04,2016,5318.678,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y05-09,2016,4542.294,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y10-14,2016,3710.362,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y15-19,2016,3025.675,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y20-24,2016,2538.205,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y25-29,2016,2147.75,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y30-34,2016,1763.007,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y35-39,2016,1419.666,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y40-44,2016,1169.249,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y45-49,2016,866.48,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y50-54,2016,742.881,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y55-59,2016,568.675,R1:2474
AGO,POP_2POP_SEX_AGE_NB,XA:2010,SEX_T,AGE_5YRBANDS_Y60-64,2016,377.42,R1:2474
