Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_MKTP_CD,NY_GDP_PCAP_CD,NY_GDP_MKTP_KD_ZG,200343,200144,200345,200151,SP_RUR_TOTL_ZS,200101
NPL,70.0,27.0,29173513476.0,1039.0,6.7,8545.0,6324.0,11617.0,1609.0,80.0,28096.0
NRU,,26.0,124021394.0,9762.0,6.1,4.0,2.0,5.0,,,11.0
NZL,82.0,5.0,207920613962.0,42950.0,3.8,932.0,640.0,2428.0,742.0,13.0,4743.0
OMN,78.0,10.0,79275422627.0,16415.0,1.8,1074.0,635.0,3005.0,116.0,15.0,4829.0
PAK,67.0,57.0,314567541558.0,1482.0,5.8,74853.0,41935.0,86288.0,9153.0,63.0,212228.0
PAN,78.0,13.0,65128200000.0,15593.0,3.7,1130.0,692.0,2016.0,339.0,32.0,4177.0
PER,77.0,11.0,222044970486.0,6941.0,4.0,8250.0,5288.0,15863.0,2587.0,22.0,31989.0
PHL,71.0,22.0,346841896890.0,3252.0,6.3,33023.0,20338.0,47827.0,5463.0,53.0,106651.0
PLW,,17.0,283994900.0,15859.0,1.7,4.0,2.0,10.0,2.0,20.0,18.0
PNG,64.0,38.0,23412495063.0,2720.0,-0.8,3082.0,1689.0,3539.0,297.0,87.0,8606.0
POL,78.0,4.0,587114101393.0,15461.0,5.3,5708.0,3949.0,21622.0,6643.0,40.0,37922.0
PRI,80.0,,100979900000.0,31622.0,-4.7,512.0,371.0,1589.0,568.0,6.0,3040.0
PRK,72.0,14.0,,,,5162.0,3895.0,14108.0,2385.0,38.0,25550.0
PRT,81.0,3.0,241274628877.0,23462.0,2.6,1380.0,1075.0,5549.0,2252.0,35.0,10256.0
PRY,74.0,17.0,40384691791.0,5806.0,3.4,2048.0,1346.0,3115.0,447.0,38.0,6956.0
PSE,74.0,17.0,14615900000.0,3199.0,0.9,1894.0,1007.0,1810.0,152.0,24.0,4863.0
PYF,77.0,,,,,63.0,42.0,149.0,23.0,38.0,278.0
QAT,80.0,6.0,191362087912.0,68794.0,1.5,377.0,384.0,1983.0,38.0,1.0,2782.0
REU,,,,,,205.0,132.0,443.0,103.0,,883.0
ROU,75.0,6.0,241626953521.0,12409.0,4.4,3030.0,2045.0,10854.0,3577.0,46.0,19506.0
RUS,73.0,6.0,1669583089323.0,11371.0,2.5,26107.0,13884.0,84357.0,21386.0,26.0,145734.0
RWA,69.0,27.0,9627720630.0,783.0,8.6,4918.0,2409.0,4613.0,361.0,83.0,12302.0
SAU,75.0,6.0,786521831573.0,23339.0,2.4,8440.0,4763.0,19382.0,1117.0,16.0,33703.0
SDN,65.0,42.0,26078607539.0,624.0,-2.3,16933.0,8501.0,14870.0,1497.0,65.0,41802.0
SEN,68.0,32.0,23236007428.0,1466.0,6.4,6826.0,3108.0,5431.0,489.0,53.0,15854.0
SGP,83.0,2.0,373217081851.0,66189.0,3.4,707.0,723.0,3668.0,660.0,,5757.0
SHN,,,,,,1.0,1.0,3.0,1.0,,6.0
SLB,73.0,17.0,1395608475.0,2138.0,3.9,263.0,125.0,242.0,23.0,76.0,653.0
SLE,54.0,79.0,4085114794.0,534.0,3.4,3141.0,1553.0,2729.0,227.0,58.0,7650.0
SLV,73.0,12.0,26117400000.0,4068.0,2.4,1742.0,1265.0,2882.0,532.0,28.0,6421.0
SMR,,2.0,1637931034.0,48481.0,1.2,5.0,3.0,19.0,7.0,3.0,34.0
SOM,57.0,77.0,,,,6990.0,3139.0,4448.0,431.0,55.0,15008.0
SPM,,,,,,1.0,1.0,3.0,1.0,,6.0
SRB,76.0,5.0,50597289147.0,7246.0,4.4,1381.0,1061.0,4745.0,1615.0,44.0,8803.0
SSD,58.0,64.0,,,,4590.0,2220.0,3793.0,373.0,80.0,10976.0
STP,70.0,24.0,422295934.0,2001.0,2.7,90.0,40.0,75.0,6.0,27.0,211.0
SUR,72.0,17.0,3458090452.0,6004.0,2.6,156.0,99.0,281.0,40.0,34.0,576.0
SVK,77.0,5.0,105820499977.0,19428.0,3.9,842.0,585.0,3173.0,852.0,46.0,5453.0
SVN,81.0,2.0,54034358544.0,26055.0,4.1,312.0,191.0,1168.0,407.0,45.0,2078.0
SWE,83.0,2.0,555455371487.0,54589.0,2.0,1753.0,1116.0,5098.0,2004.0,13.0,9972.0
SWZ,59.0,43.0,4710618470.0,4146.0,2.4,433.0,241.0,417.0,46.0,76.0,1136.0
SXM,,,,,,8.0,6.0,24.0,4.0,,42.0
SYC,73.0,12.0,1586008997.0,16391.0,3.8,23.0,13.0,54.0,7.0,43.0,97.0
SYR,72.0,14.0,,,,5324.0,3180.0,7678.0,763.0,46.0,16945.0
TCA,,,1022312010.0,27142.0,5.3,8.0,6.0,22.0,2.0,7.0,38.0
TCD,54.0,71.0,11239167048.0,726.0,2.4,7294.0,3166.0,4633.0,384.0,77.0,15478.0
TGO,61.0,47.0,5356344850.0,679.0,4.9,3261.0,1534.0,2867.0,226.0,58.0,7889.0
THA,77.0,8.0,506514103905.0,7295.0,4.2,11863.0,9448.0,39855.0,8263.0,50.0,69428.0
TJK,71.0,30.0,7522947810.0,827.0,7.3,3348.0,1655.0,3823.0,275.0,73.0,9101.0
TKL,,,,,,,,1.0,,,1.0
TKM,68.0,39.0,40761142857.0,6967.0,6.2,1803.0,964.0,2824.0,259.0,48.0,5851.0
TLS,69.0,39.0,1568611562.0,1237.0,-0.8,479.0,274.0,461.0,55.0,69.0,1268.0
TON,71.0,13.0,450353314.0,4364.0,0.3,37.0,20.0,40.0,6.0,77.0,103.0
TTO,73.0,16.0,23808146748.0,17130.0,-0.2,284.0,176.0,780.0,149.0,47.0,1390.0
TUN,77.0,15.0,39770297329.0,3439.0,2.7,2795.0,1649.0,6159.0,962.0,31.0,11565.0
TUR,77.0,9.0,771350331373.0,9370.0,2.8,20296.0,13428.0,41631.0,6985.0,25.0,82340.0
TUV,,21.0,42588165.0,3701.0,2.5,4.0,2.0,5.0,1.0,38.0,12.0
TZA,65.0,38.0,58001200572.0,1061.0,5.4,24833.0,10937.0,19078.0,1465.0,66.0,56313.0
UGA,63.0,34.0,32772824209.0,767.0,6.2,20053.0,8862.0,12985.0,829.0,76.0,42729.0
URY,78.0,6.0,59596885023.0,17278.0,1.6,711.0,509.0,1719.0,511.0,5.0,3449.0
USA,79.0,6.0,20580223000000.0,62997.0,3.2,,,,,18.0,
UZB,72.0,19.0,50392607758.0,1529.0,5.4,9316.0,5543.0,16182.0,1435.0,50.0,32476.0
VAT,,,,,,,,,,,1.0
VCT,72.0,15.0,811300000.0,7361.0,2.2,25.0,18.0,56.0,11.0,48.0,110.0
VEN,72.0,21.0,,,,7992.0,4754.0,14042.0,2099.0,12.0,28887.0
VGB,,,,,,5.0,4.0,18.0,3.0,52.0,30.0
VIR,80.0,,,,,21.0,13.0,50.0,20.0,4.0,105.0
VNM,75.0,17.0,245213686369.0,2567.0,7.1,22141.0,14053.0,52402.0,6951.0,64.0,95546.0
VUT,70.0,22.0,906050107.0,3096.0,2.8,114.0,53.0,115.0,11.0,75.0,293.0
WLF,,,,,,2.0,2.0,6.0,2.0,,12.0
WSM,73.0,14.0,820491817.0,4183.0,-2.2,75.0,35.0,77.0,9.0,82.0,196.0
YEM,66.0,43.0,27591261663.0,968.0,0.8,11290.0,6004.0,10385.0,820.0,63.0,28499.0
ZAF,64.0,29.0,368288939768.0,6374.0,0.8,16806.0,9837.0,28076.0,3073.0,34.0,57793.0
ZMB,64.0,40.0,27005238896.0,1556.0,4.0,7797.0,3605.0,5586.0,364.0,56.0,17352.0
ZWE,61.0,34.0,24311560500.0,1684.0,4.8,6122.0,2887.0,5005.0,424.0,68.0,14439.0
ZZA,83.0,,,,,26.0,20.0,95.0,29.0,69.0,170.0
AND,,3.0,3218316013.0,41793.0,1.6,,,,,12.0,
JPN,84.0,2.0,4954806619995.0,39159.0,0.3,,,,,8.0,
LBN,79.0,6.0,54961275742.0,8025.0,-1.9,,,,,11.0,
MCO,,3.0,7188238073.0,185829.0,6.1,,,,,,
UKR,72.0,8.0,130901858422.0,3097.0,3.4,,,,,31.0,
